ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA,LGA_NAME,LATITUDE,LONGITUDE,POSTCODE_CRASH,PED_OR_CYC,nearest_school,dist_to_gate_m
T20230023803,2023-12-10,08:30:00,8,No collision and no object struck,5,Thursday,151,OUT OF CONTROL (OVERTAKING),1,782952,1,0,1,0,0,1,2,5,Not at intersection,2,80,Arterial Highway,MONASH,-37.916508,145.14128,3168.0,True,Preston HS,22731.1
T20240010211,2024-09-04,17:00:00,1,Collision with vehicle,3,Tuesday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,808648,2,0,0,1,1,2,2,5,Not at intersection,3,50,Local Road,BRIMBANK,-37.7576,144.79138,3023.0,True,Preston HS,19048.6
T20240028305,2024-07-11,11:08:00,2,Struck Pedestrian,5,Thursday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,810648,1,0,0,1,1,2,1,5,Not at intersection,3,40,Arterial Other,CAMPASPE,-36.31352,145.0498,3620.0,True,William Ruthven SC,153841.0
T20210020724,2021-12-08,19:45:00,6,Vehicle overturned (no collision),5,Thursday,170,OFF CARRIAGEWAY TO LEFT,5,694960,1,0,1,0,0,1,2,5,Not at intersection,2,80,Arterial Other,NILLUMBIK,-37.65138,145.10733,3091.0,True,Reservoir HS,10458.9
T20240031629,2024-10-12,08:45:00,1,Collision with vehicle,3,Tuesday,137,LEFT TURN SIDESWIPE,1,39075,2,0,1,1,1,3,1,2,T intersection,2,60,Arterial Other,BOROONDARA,-37.821938,145.06296,3124.0,True,Preston HS,10183.5
T20230006766,2023-11-03,05:40:00,6,Vehicle overturned (no collision),7,Saturday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),5,762730,1,0,0,1,0,1,2,5,Not at intersection,3,100,Local Road,WODONGA,-36.06606,146.72424,3691.0,True,William Ruthven SC,237281.5
T20230001177,2022-04-12,19:00:00,8,No collision and no object struck,1,Sunday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),2,755703,1,0,0,1,0,1,2,5,Not at intersection,3,999,Local Road,MILDURA,-34.622086,142.26872,3501.0,True,William Ruthven SC,420816.2
T20240008949,2024-10-04,09:02:00,1,Collision with vehicle,4,Wednesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,54280,2,0,1,0,1,2,1,1,Cross intersection,2,60,Arterial Highway,MELBOURNE,-37.824665,144.96365,3006.0,True,Preston HS,9984.3
T20250018137,2025-05-07,10:30:00,8,No collision and no object struck,7,Saturday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,820117,1,0,0,1,0,1,2,2,T intersection,3,999,Local Road,WHITTLESEA,-37.448784,145.10402,3757.0,True,William Ruthven SC,28952.3
T20250018069,2025-07-07,14:30:00,2,Struck Pedestrian,2,Monday,101,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE,1,823265,1,0,1,0,0,1,2,5,Not at intersection,2,999,Local Road,MONASH,-37.926056,145.11821,3168.0,True,Preston HS,22703.3
T20230011865,2023-06-05,12:00:00,8,No collision and no object struck,7,Saturday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,775425,1,0,0,1,0,1,2,5,Not at intersection,3,80,Arterial Highway,ALPINE,-36.757126,147.02185,3741.0,True,Reservoir HS,206462.3
T20220013028,2022-09-06,09:15:00,2,Struck Pedestrian,4,Thursday,106,VEH STRIKES PED ON FOOTPATH/MEDIAN/TRAFFIC ISLAND.,1,278457,1,0,0,1,1,2,1,1,Cross intersection,3,40,Local Road,WHITTLESEA,-37.593838,145.09068,3754.0,True,William Ruthven SC,13784.9
T20210003207,2021-11-02,12:00:00,2,Struck Pedestrian,5,Thursday,106,VEH STRIKES PED ON FOOTPATH/MEDIAN/TRAFFIC ISLAND.,1,48998,2,0,0,1,2,3,1,1,Cross intersection,3,70,Arterial Highway,GEELONG,-38.075462,144.36894,3214.0,True,Preston HS,67170.3
T20220008311,2022-09-04,09:30:00,8,No collision and no object struck,7,Saturday,179,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175,1,715217,1,0,0,1,0,1,2,2,T intersection,3,80,Local Road,COLAC OTWAY,-38.434765,143.62259,3249.0,True,Preston HS,143597.0
T20220025727,2022-08-11,21:56:00,2,Struck Pedestrian,2,Tuesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,3,45633,1,0,0,1,3,4,1,2,T intersection,3,40,Arterial Other,MORELAND,-37.77383,144.96098,3056.0,True,Preston HS,5404.0
T20220020516,2022-11-09,13:44:00,2,Struck Pedestrian,1,Sunday,149,OTHER MANOEUVRING NOT INCLUDED IN DCAs 140-148,1,782691,1,0,0,1,1,2,1,5,Not at intersection,3,888,Local Road,FRANKSTON,-38.090347,145.13348,3198.0,True,Preston HS,40321.8
T20220007560,2022-04-04,17:40:00,1,Collision with vehicle,2,Monday,119,OTHER ADJACENT (INTERSECTIONS ONLY),2,35965,2,0,0,2,1,3,1,2,T intersection,3,40,Arterial Other,MORELAND,-37.777836,144.9668,3056.0,True,Preston HS,5356.9
T20250008912,2025-02-04,09:12:00,2,Struck Pedestrian,4,Wednesday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,811418,1,0,1,0,1,2,1,2,T intersection,2,60,Arterial Highway,MARIBYRNONG,-37.794804,144.90431,3011.0,True,Preston HS,10793.6
T20240020025,2024-07-08,17:59:00,1,Collision with vehicle,4,Wednesday,140,U TURN,2,56878,2,0,1,0,2,3,1,2,T intersection,2,60,Local Road,WYNDHAM,-37.86332,144.68895,3029.0,True,Preston HS,31051.6
T20210025345,2021-06-12,14:30:00,1,Collision with vehicle,2,Monday,116,LEFT NEAR (INTERSECTIONS ONLY),1,36611,2,0,0,1,1,2,2,2,T intersection,3,50,Local Road,DANDENONG,-37.996094,145.18698,3173.0,True,Preston HS,32395.8
T20210015247,2021-11-07,10:00:00,8,No collision and no object struck,1,Sunday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,36714,1,0,0,1,0,1,1,1,Cross intersection,3,50,Local Road,BENALLA,-36.556644,145.99554,3672.0,True,William Ruthven SC,154299.1
T20240002473,2024-01-02,08:30:00,8,No collision and no object struck,5,Thursday,149,OTHER MANOEUVRING NOT INCLUDED IN DCAs 140-148,1,136438,2,0,0,1,1,2,2,5,Not at intersection,3,40,Arterial Other,STONNINGTON,-37.83833,144.99585,3141.0,True,Preston HS,10790.1
T20230018730,2023-11-08,17:00:00,1,Collision with vehicle,6,Friday,121,RIGHT THROUGH,2,778748,2,0,1,0,1,2,1,2,T intersection,2,70,Arterial Other,MELTON,-37.68399,144.59525,3337.0,True,William Ruthven SC,35904.8
T20230012887,2023-02-06,14:42:00,1,Collision with vehicle,5,Friday,130,REAR END(VEHICLES IN SAME LANE),1,794142,2,0,0,1,2,3,1,5,Not at intersection,3,60,Arterial Other,YARRA RANGES,-37.810127,145.3428,3765.0,True,Reservoir HS,29224.4
T20230015872,2023-08-07,19:09:00,2,Struck Pedestrian,7,Saturday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,3,777131,1,0,1,0,1,2,1,5,Not at intersection,2,60,Local Road,GEELONG,-38.16694,144.37495,3219.0,True,Preston HS,72854.2
T20210004582,2021-07-02,06:40:00,1,Collision with vehicle,1,Sunday,139,OTHER SAME DIRECTION-MANOUEVRES NOT INCLUDED IN DCAs 130-137,1,29427,2,0,0,1,1,2,1,1,Cross intersection,3,40,Local Road,MELBOURNE,-37.81549,144.96654,3000.0,True,Preston HS,8946.0
T20240000160,2024-03-01,16:05:00,4,Collision with a fixed object,4,Wednesday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,797871,1,0,1,0,0,1,1,5,Not at intersection,2,50,Local Road,MELTON,-37.681816,144.56256,3337.0,True,William Ruthven SC,38789.2
T20230018487,2023-08-08,15:08:00,5,collision with some other object,3,Tuesday,166,STRUCK OBJECT ON CARRIAGEWAY,1,780028,1,0,1,0,0,1,1,5,Not at intersection,2,100,Arterial Other,WELLINGTON,-38.3793,146.7865,3844.0,True,Reservoir HS,170309.7
T20250006143,2025-06-03,19:55:00,8,No collision and no object struck,5,Thursday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),3,43403,1,0,0,1,0,1,1,2,T intersection,3,60,Arterial Highway,DAREBIN,-37.74269,144.97981,3072.0,True,Preston HS,2402.1
T20210013869,2021-07-06,03:15:00,4,Collision with a fixed object,2,Monday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,687676,2,0,0,1,1,2,1,5,Not at intersection,3,40,Local Road,DAREBIN,-37.78049,144.9968,3070.0,True,Preston HS,4407.3
T20220010618,2022-11-05,10:20:00,1,Collision with vehicle,4,Wednesday,116,LEFT NEAR (INTERSECTIONS ONLY),1,73888,2,0,0,1,1,2,1,2,T intersection,3,50,Local Road,WARRNAMBOOL,-38.384243,142.47054,3280.0,True,Preston HS,233270.4
T20220019934,2022-03-09,14:00:00,1,Collision with vehicle,7,Saturday,143,ENTERING PARKING,1,726941,2,0,0,1,1,2,2,1,Cross intersection,3,40,Local Road,MELBOURNE,-37.81347,144.9684,3000.0,True,Preston HS,8675.0
T20230015974,2023-09-07,18:00:00,1,Collision with vehicle,1,Sunday,121,RIGHT THROUGH,2,48879,2,0,0,1,1,2,2,1,Cross intersection,3,50,Local Road,MORELAND,-37.761395,144.95287,3056.0,True,Preston HS,5246.7
T20250009468,2025-08-04,14:08:00,6,Vehicle overturned (no collision),2,Tuesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,817187,1,0,1,0,0,1,1,2,T intersection,2,50,Local Road,WHITTLESEA,-37.621113,144.99557,3076.0,True,William Ruthven SC,8412.5
T20240003402,2024-11-02,09:10:00,1,Collision with vehicle,0,Sunday,137,LEFT TURN SIDESWIPE,1,40082,3,0,0,2,1,3,1,2,T intersection,3,60,Arterial Other,PORT PHILLIP,-37.868805,144.97559,3182.0,True,Preston HS,14402.0
T20250018077,2025-07-07,17:43:00,1,Collision with vehicle,2,Monday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,3,821206,2,0,0,1,1,2,1,5,Not at intersection,3,60,Local Road,FRANKSTON,-38.164955,145.18846,3910.0,True,Preston HS,49677.5
T20240008991,2024-09-04,19:30:00,2,Struck Pedestrian,2,Tuesday,106,VEH STRIKES PED ON FOOTPATH/MEDIAN/TRAFFIC ISLAND.,5,801963,1,0,0,1,2,3,1,5,Not at intersection,3,80,Arterial Highway,BENALLA,-36.56291,145.96118,3672.0,True,William Ruthven SC,152002.3
T20210000745,2021-11-01,17:30:00,1,Collision with vehicle,1,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,50594,2,0,0,1,1,2,2,1,Cross intersection,3,50,Local Road,COLAC OTWAY,-38.33599,143.59221,3250.0,True,Preston HS,140428.1
T20210023446,2021-12-11,18:30:00,2,Struck Pedestrian,6,Friday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,697840,1,0,0,1,1,2,2,5,Not at intersection,3,50,Local Road,MORELAND,-37.74132,144.96529,3058.0,True,Preston HS,3676.6
T20240014406,2024-05-06,16:31:00,1,Collision with vehicle,4,Wednesday,152,PULLING OUT (OVERTAKING),1,806407,2,0,1,0,1,2,1,5,Not at intersection,2,50,Local Road,CASEY,-38.02167,145.30212,3805.0,True,Preston HS,40491.4
T20240011510,2024-06-05,16:46:00,2,Struck Pedestrian,2,Monday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,802811,1,0,1,0,1,2,1,5,Not at intersection,2,60,,WODONGA,-36.12749,146.86612,3690.0,True,William Ruthven SC,240567.5
T20240031115,2024-05-12,08:45:00,1,Collision with vehicle,4,Thursday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,813078,2,0,0,1,1,2,1,5,Not at intersection,3,999,Local Road,CARDINIA,-38.09441,145.71547,3815.0,True,Reservoir HS,73033.9
T20220017839,2022-09-08,15:40:00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),1,726048,6,0,1,0,6,7,1,5,Not at intersection,2,100,Freeway,CASEY,-37.989758,145.2535,3802.0,True,Preston HS,35052.1
T20240025100,2024-05-10,08:39:00,1,Collision with vehicle,6,Saturday,121,RIGHT THROUGH,1,809495,2,0,0,1,1,2,1,2,T intersection,3,80,Local Road,MORNINGTON PENINSULA,-38.252632,145.21559,3912.0,True,Preston HS,59678.1
T20240032442,2024-12-12,17:00:00,6,Vehicle overturned (no collision),5,Thursday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,812697,1,0,1,0,0,1,2,5,Not at intersection,2,50,Local Road,WYNDHAM,-37.855637,144.60353,3024.0,True,Preston HS,37654.1
T20220004503,2022-01-03,08:50:00,1,Collision with vehicle,3,Tuesday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,706065,2,0,0,1,1,2,1,5,Not at intersection,3,777,Arterial Other,BANYULE,-37.74267,145.05869,3084.0,True,Reservoir HS,3422.7
T20250017061,2025-07-06,17:45:00,2,Struck Pedestrian,7,Saturday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,3,819714,1,0,0,1,1,2,1,5,Not at intersection,3,60,Arterial Other,MELBOURNE,-37.804504,144.95848,3000.0,True,Preston HS,8187.2
T20220017773,2022-09-08,07:40:00,1,Collision with vehicle,3,Tuesday,116,LEFT NEAR (INTERSECTIONS ONLY),1,720994,2,0,1,0,1,2,1,2,T intersection,2,50,Local Road,BANYULE,-37.705055,145.06206,3083.0,True,Reservoir HS,3460.2
T20230005916,2023-12-03,11:56:00,1,Collision with vehicle,0,Sunday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,760949,2,0,1,0,1,2,1,1,Cross intersection,2,50,Arterial Other,BOROONDARA,-37.825634,145.06505,3124.0,True,Preston HS,10632.1
T20240016805,2024-03-07,11:10:00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,1,35702,2,0,0,1,1,2,1,2,T intersection,3,60,Arterial Other,MOONEE VALLEY,-37.77908,144.9133,3032.0,True,Preston HS,9234.1
T20230022922,2023-01-10,16:45:00,1,Collision with vehicle,0,Sunday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES),1,15488,2,0,0,1,1,2,2,1,Cross intersection,3,60,Local Road,BASS COAST,-38.46367,145.25766,3923.0,True,Preston HS,83219.1
T20240011347,2024-04-05,22:10:00,1,Collision with vehicle,7,Saturday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),3,38673,2,0,1,0,1,2,1,1,Cross intersection,2,60,Arterial Other,HOBSONS BAY,-37.82925,144.88135,3015.0,True,Preston HS,14727.2
T20220004971,2022-02-03,07:50:00,1,Collision with vehicle,4,Wednesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,49248,2,0,0,1,1,2,2,1,Cross intersection,3,60,Local Road,BALLARAT,-37.598522,143.83151,3356.0,True,William Ruthven SC,103713.3
T20230005688,2023-09-03,14:32:00,1,Collision with vehicle,4,Thursday,121,RIGHT THROUGH,1,1356,2,0,0,1,2,3,1,1,Cross intersection,3,60,Arterial Other,MORELAND,-37.753277,144.94574,3055.0,True,Preston HS,5546.5
T20220010611,2022-09-05,13:30:00,2,Struck Pedestrian,2,Monday,106,VEH STRIKES PED ON FOOTPATH/MEDIAN/TRAFFIC ISLAND.,9,714252,1,0,1,0,1,2,2,5,Not at intersection,2,60,Local Road,MANNINGHAM,-37.76137,145.11893,3107.0,True,Reservoir HS,8986.2
T20230000239,2023-05-01,03:42:00,2,Struck Pedestrian,5,Thursday,106,VEH STRIKES PED ON FOOTPATH/MEDIAN/TRAFFIC ISLAND.,3,55144,1,0,1,0,1,2,1,5,Not at intersection,2,40,Local Road,MELBOURNE,-37.813114,144.95943,3000.0,True,Preston HS,8978.3
T20240020573,2024-12-08,18:00:00,2,Struck Pedestrian,1,Monday,104,PED WALKING WITH TRAFFIC,6,807988,1,0,2,0,0,2,2,5,Not at intersection,2,999,Arterial Other,BRIMBANK,-37.76992,144.77153,3023.0,True,Preston HS,20946.2
T20230028845,2023-06-12,15:00:00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE),1,795409,2,0,1,0,1,2,1,5,Not at intersection,2,40,Arterial Other,MELBOURNE,-37.82729,144.97122,3006.0,True,Preston HS,10025.9
T20250003683,2025-11-02,16:00:00,1,Collision with vehicle,3,Tuesday,132,RIGHT REAR.,1,369,2,0,1,0,1,2,1,2,T intersection,2,60,Arterial Other,PORT PHILLIP,-37.83738,144.96767,3205.0,True,Preston HS,11189.1
T20210017298,2021-10-08,16:20:00,1,Collision with vehicle,2,Tuesday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,1,43403,2,0,0,1,1,2,1,2,T intersection,3,60,Arterial Highway,DAREBIN,-37.74269,144.97981,3072.0,True,Preston HS,2402.1
T20210014970,2021-07-07,19:00:00,1,Collision with vehicle,3,Wednesday,121,RIGHT THROUGH,3,36835,2,0,1,0,1,2,1,1,Cross intersection,2,40,Arterial Other,MELBOURNE,-37.814426,144.95482,3000.0,True,Preston HS,9300.9
T20220010404,2022-08-05,14:00:00,5,collision with some other object,1,Sunday,166,STRUCK OBJECT ON CARRIAGEWAY,1,711988,1,0,0,1,0,1,2,5,Not at intersection,3,999,Local Road,WELLINGTON,-38.385475,146.65175,3844.0,True,Reservoir HS,160041.6
T20240006438,2024-10-03,15:00:00,8,No collision and no object struck,0,Sunday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),1,804195,1,0,0,1,0,1,2,5,Not at intersection,3,80,Local Road,BAW BAW,-37.861317,145.96579,3833.0,True,Reservoir HS,83718.4
T20250012042,2025-03-05,14:30:00,8,No collision and no object struck,6,Saturday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),1,818162,1,0,0,1,0,1,2,5,Not at intersection,3,999,Local Road,MURRINDINDI,-37.34969,145.967,3713.0,True,Reservoir HS,92477.7
T20210025105,2021-08-12,23:48:00,2,Struck Pedestrian,4,Wednesday,105,PED WALKING AGAINST TRAFFIC.,3,698961,1,0,0,1,1,2,1,5,Not at intersection,3,60,Arterial Other,GEELONG,-38.12648,144.34003,3215.0,True,Preston HS,72478.7
T20250002779,2025-02-01,14:00:00,5,collision with some other object,5,Thursday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,814628,1,0,0,1,0,1,2,5,Not at intersection,3,50,Local Road,WARRNAMBOOL,-38.40077,142.47263,3280.0,True,Preston HS,233642.1
T20220002465,2022-05-02,12:30:00,1,Collision with vehicle,6,Saturday,130,REAR END(VEHICLES IN SAME LANE),1,710376,2,0,1,0,1,2,1,5,Not at intersection,2,100,Arterial Other,MURRINDINDI,-37.383644,145.27095,3717.0,True,William Ruthven SC,42055.8
T20230000643,2023-10-01,13:37:00,6,Vehicle overturned (no collision),3,Tuesday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),1,747155,1,0,1,0,0,1,1,5,Not at intersection,2,80,Local Road,MOUNT ALEXANDER,-36.990036,144.30698,3453.0,True,William Ruthven SC,99785.9
T20230005633,2023-09-03,08:49:00,6,Vehicle overturned (no collision),5,Thursday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,52968,1,0,0,1,0,1,1,1,Cross intersection,3,50,Local Road,BALLARAT,-37.576763,143.83835,3350.0,True,William Ruthven SC,103413.1
T20210016733,2021-10-07,12:00:00,2,Struck Pedestrian,6,Saturday,101,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE,9,36695,1,0,0,1,1,2,2,2,T intersection,3,50,Arterial Other,YARRA,-37.800037,144.99495,3067.0,True,Preston HS,6574.1
T20230009858,2023-09-04,13:30:00,1,Collision with vehicle,0,Sunday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,807245,2,0,0,1,1,2,2,1,Cross intersection,3,60,Local Road,YARRA RANGES,-37.653015,145.51936,3777.0,True,Reservoir HS,43798.7
T20250012760,2025-12-05,23:11:00,4,Collision with a fixed object,1,Monday,164,PERMANENT OBSTRUCTION ON CARRIAGEWAY,3,825449,1,0,1,0,0,1,1,1,Cross intersection,2,50,Local Road,WHITTLESEA,-37.61294,145.03894,3750.0,True,William Ruthven SC,9819.9
T20230013562,2023-11-06,12:40:00,1,Collision with vehicle,1,Sunday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,36198,2,0,1,0,1,2,1,2,T intersection,2,60,Arterial Other,MELBOURNE,-37.80848,144.95493,3003.0,True,Preston HS,8727.2
T20230003124,2023-08-02,17:43:00,2,Struck Pedestrian,4,Wednesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,753484,1,0,0,1,1,2,1,5,Not at intersection,3,60,Local Road,MELTON,-37.711777,144.72975,3336.0,True,William Ruthven SC,24097.9
T20230008162,2023-06-04,14:50:00,1,Collision with vehicle,5,Thursday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,36592,2,0,1,0,1,2,1,2,T intersection,2,40,Arterial Other,YARRA,-37.7992,144.98657,3066.0,True,Preston HS,6643.5
T20210018901,2021-08-09,20:06:00,1,Collision with vehicle,4,Wednesday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,3,696164,2,0,1,0,0,1,1,5,Not at intersection,2,60,Arterial Other,YARRA RANGES,-37.783615,145.32257,3138.0,True,Reservoir HS,26658.3
T20220027508,2022-04-12,09:30:00,8,No collision and no object struck,1,Sunday,170,OFF CARRIAGEWAY TO LEFT,1,740166,1,0,1,0,0,1,1,5,Not at intersection,2,40,Arterial Other,LODDON,-36.47998,143.96165,3517.0,True,William Ruthven SC,163799.5
T20220011092,2022-04-05,18:00:00,2,Struck Pedestrian,4,Wednesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,3,713667,1,0,0,1,1,2,1,1,Cross intersection,3,60,Arterial Other,STONNINGTON,-37.8457,144.98509,3181.0,True,Preston HS,11724.9
T20250005659,2025-02-03,09:48:00,8,No collision and no object struck,1,Sunday,170,OFF CARRIAGEWAY TO LEFT,9,817754,1,0,1,0,0,1,1,2,T intersection,2,80,Arterial Highway,BASS COAST,-38.497982,145.27328,3923.0,True,Preston HS,87258.8
T20220010111,2022-05-05,16:00:00,2,Struck Pedestrian,5,Thursday,103,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,1,711979,1,0,1,0,1,2,2,5,Not at intersection,2,40,Arterial Other,BALLARAT,-37.559593,143.84767,3350.0,True,William Ruthven SC,102876.2
T20230003130,2023-08-02,18:50:00,2,Struck Pedestrian,4,Wednesday,101,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE,1,762147,2,0,1,0,3,4,1,5,Not at intersection,2,60,Local Road,GEELONG,-38.173653,144.39085,3219.0,True,Preston HS,72291.3
T20230017843,2023-09-07,08:40:00,8,No collision and no object struck,1,Sunday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,53272,1,0,1,0,0,1,2,2,T intersection,2,40,Local Road,MELBOURNE,-37.809677,144.95547,3003.0,True,Preston HS,8816.2
T20210018161,2021-10-08,22:40:00,6,Vehicle overturned (no collision),3,Tuesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),6,52992,1,0,0,1,0,1,2,1,Cross intersection,3,60,Local Road,BALLARAT,-37.584515,143.80759,3358.0,True,William Ruthven SC,105989.4
T20230013657,2023-12-06,17:00:00,2,Struck Pedestrian,2,Monday,107,PED ON FOOTHPATH STRUCK BY VEHENTERING/LEAVING DRIVEWAY.,2,776275,1,0,0,1,1,2,1,5,Not at intersection,3,888,Arterial Highway,YARRA RANGES,-37.75329,145.69734,3799.0,True,Reservoir HS,58835.6
T20230014452,2023-03-06,13:30:00,7,Fall from or in moving vehicle,6,Saturday,190,FELL IN/FROM VEHICLE,1,776224,1,0,0,1,0,1,2,5,Not at intersection,3,999,Local Road,CENTRAL GOLDFIELDS,-37.064373,143.79337,3464.0,True,William Ruthven SC,127921.7
T20220019972,2022-04-09,03:42:00,7,Fall from or in moving vehicle,0,Sunday,190,FELL IN/FROM VEHICLE,3,782645,1,0,0,2,0,2,1,5,Not at intersection,3,999,Local Road,MELBOURNE,-37.81459,144.96582,3000.0,True,Preston HS,8879.9
T20240008817,2024-08-04,17:00:00,1,Collision with vehicle,2,Monday,111,RIGHT FAR (INTERSECTIONS ONLY),2,37961,2,0,1,0,1,2,2,2,T intersection,2,60,Arterial Other,YARRA,-37.78587,144.9992,3068.0,True,Preston HS,4960.3
T20230016134,2023-12-07,08:45:00,2,Struck Pedestrian,3,Wednesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,2,777282,1,0,0,1,1,2,1,5,Not at intersection,3,50,Local Road,CASEY,-38.094685,145.25598,3977.0,True,Preston HS,44913.2
T20220017355,2022-02-08,14:10:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,1,38986,2,0,1,0,1,2,2,1,Cross intersection,2,999,Arterial Other,BOROONDARA,-37.823902,145.04619,3123.0,True,Preston HS,9764.7
T20250012546,2025-10-05,16:35:00,1,Collision with vehicle,7,Saturday,120,HEAD ON (NOT OVERTAKING),1,818165,2,1,1,0,1,3,1,5,Not at intersection,1,100,Local Road,SOUTHERN GRAMPIANS,-37.66883,142.2094,3294.0,True,William Ruthven SC,245847.8
T20250015435,2025-10-05,17:00:00,4,Collision with a fixed object,7,Saturday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,819160,1,0,1,0,0,1,2,5,Not at intersection,2,999,Arterial Highway,YARRA RANGES,-37.636845,145.58165,3777.0,True,Reservoir HS,49522.6
T20250018453,2025-07-06,18:28:00,7,Fall from or in moving vehicle,6,Saturday,199,UNKNOWN-NO DETAILS ON MANOEUVRES OF ROAD-USERS IN ACCIDENT,3,820161,1,0,0,1,1,2,2,5,Not at intersection,3,40,Local Road,DANDENONG,-37.972908,145.22437,3175.0,True,Preston HS,32012.6
T20250008806,2025-01-04,18:10:00,2,Struck Pedestrian,3,Tuesday,109,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,2,819416,1,0,0,2,0,2,2,5,Not at intersection,3,999,Local Road,MELBOURNE,-37.791058,144.93246,3031.0,True,Preston HS,8553.8
T20230023685,2023-11-10,09:08:00,2,Struck Pedestrian,3,Wednesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,782931,1,0,0,1,1,2,1,5,Not at intersection,3,60,Local Road,YARRA RANGES,-37.89888,145.39366,3791.0,True,Reservoir HS,37537.5
T20240000402,2024-06-01,14:19:00,8,No collision and no object struck,7,Saturday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,797489,1,0,1,0,0,1,1,5,Not at intersection,2,100,Arterial Highway,SOUTHERN GRAMPIANS,-37.294056,142.18832,3314.0,True,William Ruthven SC,252307.3
